duration,startDate,startStation,endDate,endStation,bike,subscription,,startPos,endPos
0h 6m 20s,10/11/2012 22:46:00,10th & U St NW,10/11/2012 22:52:00,14th & Rhode Island Ave NW,W01450,Subscriber,,38.9172:-77.0259:56.89066288103373,38.9086:-77.0323:44.521598782119085
0h 5m 44s,10/11/2012 22:46:00,California St & Florida Ave NW,10/11/2012 22:51:00,15th & P St NW,W00880,Subscriber,,38.917761:-77.04062:31.782494645373603,38.90985:-77.034438:33.998461323854
0h 6m 39s,10/11/2012 22:46:00,Massachusetts Ave & Dupont Circle NW,10/11/2012 22:52:00,15th & P St NW,W20919,Subscriber,,38.9101:-77.0444:0.037382486137694,38.90985:-77.034438:33.998461323854
0h 10m 39s,10/11/2012 19:40:00,Maryland & Independence Ave SW,10/11/2012 19:51:00,8th & H St NW,W00571,Subscriber,,38.887299:-77.018939:16.87182147881584,38.8997:-77.023086:50.458513601911925
0h 53m 12s,10/11/2012 19:40:00,12th & L St NW,10/11/2012 20:33:00,M St & Pennsylvania Ave NW,W00012,Casual,,38.903819:-77.0284:98.78030916899544,38.905126:-77.056887:20.269144627354528
0h 12m 33s,10/11/2012 19:40:00,8th & Eye St SE / Barracks Row,10/11/2012 19:52:00,13th & H St NE,W20097,Subscriber,,38.8792:-76.9953:71.9617949354179,38.9003:-76.9882:62.62217389396753
0h 21m 13s,10/11/2012 19:40:00,20th & O St NW / Dupont South,10/11/2012 20:01:00,14th St Heights / 14th & Crittenden St NW,W01064,Subscriber,,38.908905:-77.04478:5.379990418676794,38.947774:-77.032818:13.079965918774771
0h 9m 26s,10/11/2012 19:39:00,4th & East Capitol St NE,10/11/2012 19:49:00,M St & New Jersey Ave SE,W00345,Subscriber,,38.889955:-77.000349:73.17175884869012,38.8763:-77.0037:57.89359248493322
0h 10m 0s,10/11/2012 19:39:00,20th & L St NW,10/11/2012 19:49:00,7th & R St NW / Shaw Library,W20915,Subscriber,,38.903584:-77.044789:44.761686167727746,38.912719:-77.022155:3.417683539036287
0h 8m 39s,10/11/2012 19:39:00,Massachusetts Ave & Dupont Circle NW,10/11/2012 19:48:00,Calvert St & Woodley Pl NW,W01072,Subscriber,,38.9101:-77.0444:0.037382486137694,38.9236:-77.0501:0.920886146520217
0h 6m 53s,10/11/2012 19:39:00,5th & F St NW,10/11/2012 19:46:00,15th & K St NW,W00891,Subscriber,,38.897222:-77.019347:96.928327974949,38.902:-77.03353:5.130581938240663
0h 15m 12s,10/11/2012 19:39:00,3rd & G St SE,10/11/2012 19:54:00,1st & M St NE,W01057,Subscriber,,38.881185:-77.001828:53.30373565898312,38.9057:-77.0056:10.066673718983665
0h 7m 39s,10/11/2012 18:16:00,Market Square / King St & Royal St,10/11/2012 18:24:00,Braddock Rd Metro,W01356,Subscriber,,38.804718:-77.043363:14.207202344012138,38.814577:-77.052808:9.895722457536715
0h 2m 41s,10/11/2012 18:16:00,Crystal City Metro / 18th & Bell St,10/11/2012 18:19:00,23rd & Crystal Dr,W01227,Subscriber,,38.8573:-77.0511:78.87022785117709,38.8533:-77.0498:4.787567188597041
0h 17m 58s,10/11/2012 18:16:00,16th & Harvard St NW,10/11/2012 18:34:00,1st & Rhode Island Ave NW,W00355,Subscriber,,38.926088:-77.036536:48.16606704314131,38.915417:-77.012289:94.76721204953577
0h 18m 4s,10/11/2012 18:16:00,20th & O St NW / Dupont South,10/11/2012 18:34:00,Georgia & New Hampshire Ave NW,W00339,Subscriber,,38.908905:-77.04478:5.379990418676794,38.936043:-77.024649:4.096833069823336
0h 3m 48s,10/11/2012 18:16:00,Ballston Metro / N Stuart & 9th St N,10/11/2012 18:20:00,N Quincy St & Glebe Rd,W20126,Subscriber,,38.881044:-77.111768:51.64479864395162,38.876393:-77.107735:36.19555042086219
